S.1,S.2,S.3,S.4,S.5,S.6,S.7,S.8,S.9,S.10
-0.483622871493506,-0.5603327361782221,-0.7003158576626071,-0.466714731859316,-0.4320137279140306,-0.4301542971997429,-0.2882689718325398,-0.5426817549092015,-0.3920997928651424,-0.3292826286264295
0.2892541777000167,0.21264185680911976,0.3443655616737529,0.19466547143263513,-0.23271453692891278,0.054589962140762005,-0.11854235192786423,-0.23245667280071655,0.22286974430856413,-0.5723007469092474
-0.06697021317440456,-0.1570815136112666,-0.13462682014010988,0.06741238888118525,0.453722289044768,0.10465374175322355,0.3993910182642276,-0.29571051961334877,-0.02525950093386667,-0.1623692048500135
-0.15301442046470926,-0.3418960618903617,0.21427669209507788,-0.1843132603205288,-0.02892091014692817,-0.22637843132836555,-0.10038726751905519,-0.1472527341085935,-0.3168044067604576,0.08307437847653157
0.23068047399228891,-0.015953472495426065,0.18619172404627604,-0.23808584829246746,0.4354712008827688,0.17962666673359984,0.45982282398772306,0.13361376942888878,0.04008586223429592,0.37056996780623896
-0.07876242455119367,0.1335122382984173,-0.14377052572874466,0.08305834725823688,-0.4895407066022798,-0.19395337218561218,-0.35561948549342526,0.03552742500003542,-0.04303986669351479,-0.4040899246287578
0.5850940767382975,0.5237937743281386,0.36686606742896144,0.04074180429183905,0.22566092917628963,0.07403744756275214,0.1709315597742705,-0.11040921348706854,-0.1420976705872478,0.014750948136566555
-0.3218226636642915,0.2352973570170921,-0.02618147582828852,-0.3357199107497259,-0.167301507455666,-0.2233185887983757,-0.4804816691172053,0.22732328490405135,-0.22900949698576664,-0.3873321713280652
0.37989408588022655,0.031365843445830696,-0.006504795938594063,0.700918692531927,0.19706095241180743,0.7686176813135986,0.3662310935753921,-0.6008064165872637,0.7243261478112599,0.2583659286974385
0.07000781354394693,0.3878846929255168,0.3691549299602755,-0.19112451008415207,0.0740054730273335,-0.1837881689446606,-0.03391500286511514,0.31366075821447165,-0.3079593843374749,0.11477008222692626
